STT,Từ vựng gốc,Từ loại,Phiên âm,Ý nghĩa,Câu ví dụ,Dịch câu ví dụ
744,万一,Liên từ / Danh từ,wànyī,"vạn nhất, lỡ như, ngộ nhỡ, nhỡ ra",出门前记得在书包里带上一把塑料雨伞，万一万一下雨还能用得上它避雨。,"Nhớ mang ô trong cặp, nhỡ ra trời mưa còn có cái tránh."
745,王,Danh từ,wáng,"vua, họ Vương",我们汉语班里有两位同学都姓王王，一个是王华，另一个是王明王明。,Lớp tiếng Trung của tôi có 2 bạn họ Vương là Vương Hoa và Vương Minh.
746,网络,Danh từ,wǎngluò,"mạng lưới, internet, network",多媒体教室里面的电脑网络网络最近信号不好，极大地影响了自习自习自学。,Mạng máy tính trong phòng máy dạo này yếu ảnh hưởng học tập.
747,网址,Danh từ,wǎngzhǐ,"địa chỉ web, URL, website link",请大家用手机扫码或者在浏览器输入输入我们学校的官方网址网址查成绩。,Xin hãy quét mã hoặc nhập URL web trường để tra điểm thi.
748,微笑,Động từ / Danh từ,wēixiào,"mỉm cười, nụ cười nhẹ",售货员脸上始终挂着热心亲切的微笑微笑，对待每一位顾客都十分友好。,Người bán hàng luôn nở nụ cười thân thiện ân cần với mỗi khách.
749,微信,Danh từ,wēixìn,WeChat (ứng dụng nhắn tin của Trung Quốc),中国同学平时都习惯用微信微信发消息和进行日常日常的付款买零食买零食。,Các bạn Trung Quốc thường dùng WeChat nhắn tin và thanh toán mua đồ.
750,围巾,Danh từ,wéijīn,"khăn quàng cổ, khăn len",冬季的北京寒风刺骨，出门前你一定要戴好这条厚厚的红围巾红围巾。,"Đông Bắc Kinh gió rét, ra ngoài nhớ quàng khăn len đỏ dày này."
751,维持,Động từ,wéichí,"duy trì, gìn giữ, giữ vững (trạng thái/trật tự)",在安静的语言自习室里看书时，大家要共同维持维持好安静环境环境。,"Đọc sách phòng tự học, mọi người cùng duy trì môi trường yên tĩnh."
752,维护,Động từ,wéihù,"bảo vệ, duy trì, bảo trì (quyền lợi/hệ thống)",我们必须坚决维护国家重点重点文物的安全和跨江大桥桥梁的整体健康。,Chúng ta phải bảo vệ an toàn di tích quốc gia và cầu vượt sông.
753,维修,Động từ,wéixiū,"bảo trì sửa chữa, tu sửa, bảo dưỡng",学校的电梯因为坏了今天下午需要暂停使用，工程技术人员正在紧急维修维修。,"Thang máy hỏng tạm dừng hoạt động, kỹ thuật viên đang sửa gấp."
754,尾巴,Danh từ,wěiba,cái đuôi (động vật/máy bay),那只在操场上跑来跑去的小小白猫长着一条非常非常长、毛茸茸的尾巴尾巴。,Chú mèo trắng chạy trên sân có chiếc đuôi rất dài và xù lông.
755,未必,Phó từ,wèibì,"chưa chắc, không hẳn",虽然他每天背诵很多汉语生词，但他的汉语口语测试测试未必未必能拿第一名。,Dù học từ mới nhiều chưa chắc thi nói cậu ấy đã được hạng nhất.
756,未来,Danh từ,wèilái,"tương lai, thời gian sắp tới",我们每个人都要对自己的未来未来人生规划有清晰的想法设计想法设计。,Mỗi người chúng ta đều cần thiết kế kế hoạch rõ ràng cho tương lai.
757,位于,Động từ,wèiyú,"nằm ở, vị trí ở (địa lý)",新建的现代化高层公寓公寓大楼正位于位于学校西区操场的正西边正西边。,Tòa nhà căn hộ cao tầng mới nằm ngay phía tây sân bóng khu tây.
758,位置,Danh từ,wèizhi,"vị trí, chỗ ngồi, chỗ đứng",请大家按照座位卡片卡片上面的号码，找到属于自己的汉语考试位置位置。,Xin hãy đối chiếu số trên thẻ ngồi tìm đúng vị trí thi của mình.
759,味儿,Danh từ,wèir,"mùi, vị, hương vị",超市卖的这种新鲜新鲜红润的有机苹果苹果吃起来有一股特别甜美的味儿味儿。,Táo hữu cơ tươi hồng bán ở siêu thị ăn có vị rất ngọt ngào.
760,喂,Động từ,wèi,"cho ăn, nuôi dưỡng, đút ăn (động vật/trẻ em)",留学生中午习惯去学校操场旁边的池塘池塘里，喂喂那些可爱的小红金鱼金鱼。,Trưa du học sinh hay ra ao cạnh sân trường cho cá vàng ăn.
761,稳,Tính từ,wěn,"vững, chắc chắn, ổn định, bình tĩnh",他做事态度一向非常踏实沉稳稳重，交给他开发的新电脑项目大家很放心。,"Cậu ấy làm việc rất vững vàng, giao dự án máy tính mới ai cũng yên tâm."
762,稳定,Tính từ / Động từ,wěndìng,"ổn định, làm cho ổn định",最近人民币兑换越南盾的汇率基本保持稳定稳定，波动波动不太剧烈。,"Tỷ giá RMB đổi VND gần đây giữ ổn định, dao động không nhiều."
763,问候,Động từ,wènhòu,"hỏi thăm, chào hỏi, chúc mừng",每逢春节前后，留学生都会发微信微信向李老师表达热情的节日问候问候。,"Mỗi dịp Tết, du học sinh hay gửi WeChat chúc mừng năm mới cô Lý."
764,无,Động từ,wú,"không có, vô",这间安静无人的阅览室里十分干净整洁，最适合我们自习自修自习自修课文。,"Phòng đọc sách không người này rất sạch sẽ, hợp tự học bài nhất."
765,无法,Động từ,wúfǎ,"không cách nào, không thể (làm gì)",由于网络信号连接中断，我现在根本无法无法登录学校网址查询成绩成绩。,"Do mất mạng, hiện tôi hoàn toàn không thể vào web trường tra điểm."
766,无聊,Tính từ,wúliáo,"tẻ nhạt, vô vị, chán chường, nhạt nhẽo",周末如果总是呆在宿舍看手机的话，真的会感觉非常无聊无聊闷得慌。,Cuối tuần nếu cứ rú trong phòng nghịch điện thoại thì tẻ nhạt lắm.
767,无论,Liên từ,wúlùn,"bất luận, cho dù, dù thế nào (thường đi với 都/也)",无论无论明天的普通话测试测试有多难，我们都一定要坚持考完它考完它。,Bất luận bài thi tiếng Phổ thông mai khó thế nào ta đều phải thi xong.
768,无数,Tính từ,wúshù,"vô số, không đếm xuể, rất nhiều",在安静清凉的夏夜里，天空中闪烁着无数无数颗明亮耀眼的星星星星。,"Đêm hè thanh mát, trên trời lấp lánh vô số ngôi sao sáng ngời."
769,无所谓,Động từ,wúsuǒwèi,"sao cũng được, không sao cả, thờ ơ",明天中午咱们是吃米饭还是吃豆腐脑套餐套餐，我都无所谓无所谓，听你安排听你安排。,"Trưa mai ăn cơm hay ăn set tào phớ tớ sao cũng được, cậu quyết đi."
770,无限,Tính từ,wuxian,"vô hạn, không giới hạn, bao la",互联网的技术发展带给了我们无限无限的汉语学习资源和便捷沟通便捷沟通。,Mạng Internet đem lại nguồn tài nguyên học tiếng Trung vô hạn.
771,五颜六色,Tính từ,wuyǎnliùsè,"sặc sỡ, đủ màu sắc, muôn màu muôn vẻ",春天的公园里开满了五颜六色五颜六色的鲜花，引来了无数世界游客游玩。,Công viên mùa xuân đầy hoa sắc sỡ thu hút bao du khách đến ngắm.
772,误会,Động từ / Danh từ,wùhuì,"hiểu lầm, ngộ nhận, sự hiểu lầm",我们俩之间其实其实只是一场小误会误会，现在大家已经说清楚了说清楚了。,"Giữa hai đứa thực ra chỉ là hiểu lầm nhỏ, nay đã nói rõ rồi."
773,西瓜,Danh từ,xīguā,dưa hấu,炎热的夏日中午，吃几块冰镇的甜西瓜西瓜感觉极其解暑舒服极了。,Trưa hè nóng nực ăn mấy miếng dưa hấu lạnh thấy cực kỳ giải nhiệt.
774,吸,Động từ,xī,"hút, hít vào, thu hút (như 吸引, 吸收)",清晨慢跑慢跑在安静的松树林里，深吸一口新鲜空气，精神饱满。,"Chạy bộ sáng sớm trong rừng thông, hít sâu khí trong thấy rất sảng khoái."
775,吸管,Danh từ,xīguǎn,ống hút,请服务员拿一根干净的塑料吸管吸管给我，我想要喝冰镇柠檬汽水汽水。,Lấy hộ tôi chiếc ống hút nhựa sạch để uống nước chanh đá với ạ.
776,吸收,Động từ,xīshōu,"hấp thu, tiếp thu, kết nạp",绿油油的蔬菜能通过根部充分吸收吸收土壤里的水分和养分养分。,Rau xanh có thể hấp thu đầy đủ nước và dinh dưỡng từ đất.
777,吸烟,Động từ,xīyān,hút thuốc,多媒体大厅的墙壁墙壁上挂着醒目的告示牌：禁止在此吸烟吸烟。,Trên tường hội trường treo biển báo nổi bật: Cấm hút thuốc ở đây.
778,吸引,Động từ,xīyǐn,"thu hút, lôi cuốn, hấp dẫn",中国五千年悠久灿烂的历史历史文化，深深吸引吸引着无数外国留学生外国留学生。,Lịch sử văn hóa rực rỡ 5000 năm Trung Hoa thu hút bao du học sinh.
779,喜爱,Động từ,xǐ'ài,"yêu thích, yêu mến, thích thú",李老师平时温和幽默幽默，深受我们汉语班所有留学生的喜爱喜爱。,Cô Lý tính tình hiền hậu hài hước nên rất được cả lớp yêu quý.
780,系列,Danh từ,xìliè,"loạt, chuỗi, loạt tác phẩm, hệ thống",这家著名的电脑软件公司最近推出了一系列系列高端数码机器设备设备。,Công ty phần mềm nổi tiếng này mới ra mắt loạt thiết bị số cao cấp.
781,系统,Danh từ / Tính từ,xìtǒng,"hệ thống, có hệ thống, đồng bộ",通过一年的认真自学，他终于建立了极其系统的汉语语法知识系统知识结构。,"Qua 1 năm tự học, cậu ấy đã lập được hệ thống ngữ pháp tiếng Trung."
782,细,Tính từ,xì,"mỏng, mịn, nhỏ bé, chi tiết (như 仔细)",这根用来系紧包裹的红色绳子绳子太细了，容易在搬运中拉断拉断。,"Sợi dây đỏ buộc gói đồ này mảnh quá, dễ bị đứt khi bê vác."
783,细节,Danh từ,xìjié,"chi tiết, tiểu tiết, chi tiết nhỏ",我们在写汉语实验报告时，必须要注意到每一个具体的数据细节数据细节。,Khi viết báo cáo thí nghiệm phải chú ý từng chi tiết số liệu cụ thể.
784,细致,Tính từ,xìzhì,"tỉ mỉ, chu đáo, tinh tế, kỹ lưỡng",李老师的工作态度极其细致细致，把留学生的日常自修自学安排得很好安排得很好。,"Cô Lý làm việc rất tỉ mỉ, sắp xếp việc học của du học sinh rất chu đáo."
785,下个月,Danh từ,xiàgeyuè,tháng sau,下个月底，我们全班同学将结伴去中国北部的哈尔滨市观赏冰雪冰雪世界。,Cuối tháng sau cả lớp sẽ đi ngắm thế giới băng tuyết ở Cáp Nhĩ Tân.
786,下降,Động từ,xiàjiàng,"hạ xuống, giảm xuống, sa sút (nhiệt độ/điểm số)",由于最近学习态度不认真，他的汉语听力成绩成绩发生了一些下降下降。,Do dạo này lơ là học tập nên điểm nghe tiếng Trung của cậu ấy bị sụt.
787,下楼,Động từ,xiàlóu,"xuống lầu, xuống tầng, bước xuống lầu",李华，大巴车已经在宿舍楼大门等咱们了，你赶快下楼下楼来吧来吧。,"Lý Hoa ơi, xe khách đang đợi ở cửa ký túc xá rồi, mau xuống lầu đi."
788,下载,Động từ,xiàzài,"tải về, download",请大家登录我们学校的网址网址，把最新的汉语期末复习资料下载下载下来。,Mời mọi người vào web trường tải tài liệu ôn tập cuối kỳ về.
789,夏季,Danh từ,xiàjì,"mùa hè, quý hè",夏季的北京天气天气极其酷热干燥，去操场慢跑跑步一定要多喝矿泉水矿泉水。,"Mùa hè Bắc Kinh rất nóng và khô, chạy bộ ngoài sân phải uống nhiều nước."
790,鲜,Tính từ,xiān,"tươi, tươi ngon, rực rỡ, mới (như 新鲜)",这些刚从菜市场买回来的黄瓜和西红柿西红柿看起来极其嫩绿新鲜新鲜。,Mấy quả dưa leo cà chua mới mua ở chợ về trông cực kỳ tươi ngon.
791,鲜花,Danh từ,xiānhuā,hoa tươi,春季的校园里开满了五颜六色五颜六色的鲜花鲜花，吸引了无数蝴蝶飞舞飞舞。,Khuôn viên trường mùa xuân đầy hoa tươi sặc sỡ thu hút bướm bay.
792,鲜明,Tính từ,xiānmíng,"rõ ràng, nổi bật, tươi sáng (màu sắc/lập trường)",这篇中文戏剧报告的观点极其鲜明鲜明，论据也极其真实详细真实详细。,"Quan điểm bài báo cáo kịch này rất rõ ràng, dẫn chứng rất thực tế."
793,咸,Tính từ,xián,mặn,今天的这盘豆腐脑套餐里套餐里放了太多盐，尝起来稍微有一点儿咸咸了。,"Suất tào phớ mặn hôm nay bỏ nhiều muối quá, ăn thấy hơi mặn."
794,显著,Tính từ,xiǎnzhù,"nổi bật, rõ rệt, đáng kể (hiệu quả/thay đổi)",经过一学期的刻苦自学，他的汉语口语表达表达有了极其显著显著的提升。,"Qua 1 kỳ chăm học, khả năng nói tiếng Trung của cậu ấy tiến bộ rõ rệt."
795,县,Danh từ,xiàn,huyện (đơn vị hành chính dưới tỉnh),他的老家在中国南部的一个风景风景极其极其优美的绿色小县城县城里。,Quê cậu ấy ở một huyện nhỏ xanh mát cảnh rất đẹp miền nam Trung Quốc.
796,限制,Động từ / Danh từ,xiànzhì,"hạn chế, giới hạn, kiềm chế",为了保证安全，化学实验室对于每组进入的学生人数人数有着严格限制限制。,"Để an toàn, phòng lab hóa học giới hạn nghiêm ngặt số người vào."
797,相处,Động từ,xiāngchǔ,"chung sống, đối xử với nhau, tương tác xã hội",我们班级的留学生与中国同学同学之间相处相处得非常亲切极其极其友好融洽。,Du học sinh và bạn học Trung Quốc lớp tôi sống với nhau rất hòa thuận.
798,相反,Tính từ / Liên từ,xiāngfǎn,"ngược lại, trái lại, tương phản",他虽然平时看起来很调皮，相反相反他写起汉语作业来却极其严谨认真极其严谨认真。,Trông nghịch ngợm vậy nhưng ngược lại cậu ấy làm bài tập rất nghiêm túc.
799,箱,Lượng từ / Danh từ,xiāng,"thùng, hòm, vali (lượng từ hàng hóa)",爸爸今天上午从邮局给我寄寄了一大箱箱新鲜的越南特色芒果水果。,Sáng nay bố gửi bưu điện cho tôi một thùng lớn xoài tươi đặc sản Việt.
800,箱子,Danh từ,xiāngzi,"cái hộp, vali, hòm, thùng gỗ",请大家帮忙把放在教室教室走廊里的那个重重的木头箱子箱子抬进客厅来。,Nhờ mọi người khênh hộ chiếc thùng gỗ nặng ngoài hành lang vào phòng khách.
801,想念,Động từ,xiǎngniàn,"nhớ nhung, hoài niệm",离开河内留学已经一年多了，我心里依然极其想念想念家乡的父母父母。,"Rời Hà Nội đi du học hơn 1 năm rồi, lòng tôi vẫn rất nhớ bố mẹ ở quê."
802,想象,Danh từ / Động từ,xiǎngxiàng,"tưởng tượng, hình dung",科学家的想象想象力非常丰富，往往能够设计出许多不可思议的电脑新发明。,Trí tưởng tượng của nhà khoa học rất phong phú phát minh nhiều đồ mới.
803,项,Lượng từ,xiàng,"khoản, hạng mục, điều (lượng từ cho quy định/nhiệm vụ)",李老师今天下午在汉语课上给我们布置了一项项新的口语辩论任务任务。,Cô Lý chiều nay giao cho tụi tôi một nhiệm vụ thảo luận khẩu ngữ mới.
804,项目,Danh từ,xiàngmù,"hạng mục, dự án",我们小组目前正在全力开发一个新的互联网高科技软件项目项目。,Nhóm tôi hiện đang dốc sức làm một dự án phần mềm công nghệ cao mới.
805,相片,Danh từ,xiàngpiàn,"bức ảnh, tấm ảnh",书包里装着几张我跟大学好友在学校门口拍的彩色相片相片。,Trong cặp có mấy bức ảnh màu tôi chụp chung với bạn thân ở cổng trường.
806,消化,Động từ,xiāohuà,"tiêu hóa, tiếp thu (kiến thức)",多吃一些黄瓜和西红柿等蔬菜有助于我们的肠胃消化消化和吸收营养营养。,Ăn nhiều rau như dưa leo cà chua giúp dạ dày tiêu hóa hấp thu tốt.
807,销售,Động từ,xiāoshòu,"tiêu thụ, bán hàng, sales",这家大型服装店的一楼主要是销售销售各种名牌运动外套上衣上衣。,Tầng 1 tiệm quần áo lớn này chủ yếu bán các loại áo khoác thể thao hiệu.
808,小吃,Danh từ,xiǎochī,"món ăn vặt, đồ ăn nhẹ, snack",学校门口那家新开的中国小吃小吃店最近生意极火，大家都爱去去吃。,Quán ăn vặt Trung Quốc cổng trường dạo này rất hot ai cũng thích ăn.
809,小伙子,Danh từ,xiǎohuǒzi,"chàng trai trẻ, thanh niên, gã trẻ tuổi",那个在操场上开心地踢足球踢足球的小伙子个子挺高，球技极其棒。,Cậu thanh niên đang đá bóng trên sân dáng người cao bóng đá rất cừ.
810,小型,Tính từ,xiǎoxíng,"cỡ nhỏ, thu nhỏ, tiểu hình",我们公司下周计划举办一次关于环保的专题小型小型学术研讨会研讨会。,Công ty định tổ chức cuộc hội thảo chuyên đề môi trường cỡ nhỏ tuần tới.
811,效率,Danh từ,xiàolǜ,"hiệu suất, hiệu quả công việc",合理使用电脑和智能手机能极大提高我们的汉语自学自修效率效率。,Dùng máy tính và điện thoại hợp lý giúp nâng cao hiệu suất tự học.
812,些,Lượng từ,xiē,"một vài, một số, ít nhiều",这些新买的先进电脑设备目前都整齐地排列排列在多媒体教室里教室里。,Mấy thiết bị máy tính mới mua này đều xếp ngăn ngắn ở phòng học.
813,心理,Danh từ,xīnlǐ,"tâm lý, tâm lý học, tâm trí",了解外国留学生的日常学习心理心理能帮学校更好改进教育管理方式。,Hiểu tâm lý học tập của du học sinh giúp trường cải tiến quản lý tốt.
814,新郎,Danh từ,xīnláng,chú rể,在昨天举办的热闹非凡的婚礼上，新郎新郎穿着一套笔挺的黑西装西装。,"Trong đám cưới nhộn nhịp hôm qua, chú rể mặc comple đen rất chỉnh tề."
815,新娘,Danh từ,xīnniáng,cô dâu,穿着白色婚纱的新娘新娘脸上挂着亲切甜美的微笑，显得极其美丽极其美丽。,Cô dâu mặc váy cưới trắng nở nụ cười ngọt ngào trông rất xinh đẹp.
816,新鲜,Tính từ,xīnxiān,"tươi, tươi mới, trong lành, mới lạ (rau quả/không khí)",每天清晨，我们都喜欢去安静的松树林里深呼吸新鲜新鲜空气空气。,Mỗi sáng ta đều thích ra rừng thông yên tĩnh hít thở không khí trong lành.
817,新型,Tính từ,xīnxíng,"kiểu mới, loại mới, tân tiến",这种新型新型绿色环保燃料的研发成功，将带来巨大的社会收益社会收益。,Nghiên cứu thành công nhiên liệu xanh mới này sẽ đem lại lợi ích lớn.
818,兴奋,Tính từ,xīngfèn,"hưng phấn, hào hứng, kích thích",听到自己顺利拿到北京大学的研究生录取通知，他心里兴奋兴奋极了。,"Nghe tin đỗ thạc sĩ Bắc Đại, lòng cậu ấy vô cùng hào hứng phấn khởi."
819,形容,Động từ,xíngróng,"miêu tả, hình dung, tả lại",他的汉语口语流利到简直无法用简单的汉语词汇词汇来形容形容它了。,Khẩu ngữ tiếng Trung của cậu ấy trôi chảy đến mức khó dùng từ tả được.
820,形势,Danh từ,xíngshì,"hình thế, tình thế, tình hình chung",随着国际经济合作加强，最近两国的双边贸易形势形势一片大好一片大好。,Kinh tế hợp tác tăng giúp tình hình thương mại hai nước rất thuận lợi.
821,型,Danh từ,xíng,"kiểu, mẫu, nhóm (như 血液型, 机型)",请在这张体检个人信息登记表上正确勾选出你的具体血型血型分类。,Xin điền đúng phân loại nhóm máu của bạn vào tờ khai sức khỏe này.
822,型号,Danh từ,xínghào,"mã hàng, mẫu mã, model máy",请问这台新买的自动化电脑机器的具体规格型号型号是多少多少？,Xin hỏi model quy cách cụ thể của chiếc máy tính tự động mới mua này?
823,醒,Động từ,xǐng,"tỉnh giấc, tỉnh ngộ, tỉnh táo",每天早上闹钟一响，我就会立刻从舒服的床上醒醒过来洗脸自修自修。,Mỗi sáng chuông reo là tôi lập tức tỉnh giấc dậy rửa mặt tự học.
824,兴趣,Danh từ,xìngqù,"hứng thú, sở thích, đam mê",留学生们都对中国传统历史文化和京剧产生了非常浓厚的兴趣兴趣。,Du học sinh đều có hứng thú rất nồng nhiệt với văn hóa Kinh kịch.
825,性质,Danh từ,xìngzhì,"tính chất, đặc tính cốt lõi",这两个新项目的开发性质性质完全不同，所以我们需要分类进行研发进行研发。,Tính chất hai dự án này khác nhau nên phải nghiên cứu riêng biệt.
826,兄弟,Danh từ,xiōngdì,"anh em, huynh đệ",他们俩虽然是堂兄弟兄弟，但平时的感情却比亲兄弟还要深厚深厚得多得多。,Dù là anh em họ nhưng tình cảm hai đứa họ thân thiết hơn anh em ruột.
827,胸部,Danh từ,xiōngbù,"phần ngực, lồng ngực",在进行体检体检时，医生要用专业设备仔细检查我们的胸部胸部健康。,"Khi khám sức khỏe, bác sĩ dùng máy chuyên dụng khám kỹ lồng ngực."
828,修理,Động từ,xiūlǐ,"sửa chữa, tu sửa (thiết bị/nhà cửa)",学校的电梯电梯坏了，工程人员今天下午正在多媒体大楼紧急修理修理它。,"Thang máy hỏng, thợ kỹ thuật đang gấp rút sửa chữa ở tòa nhà."
829,选择,Động từ / Danh từ,xuǎnzé,"lựa chọn, tuyển chọn, sự lựa chọn",大四毕业后，李华选择选择去一家著名的外企担任了一名专业专业会计会计。,"Tốt nghiệp xong, Lý Hoa chọn vào công ty nước ngoài làm kế toán."
830,学分,Danh từ,xuéfēn,"tín chỉ học tập, điểm tích lũy",为了顺利拿到大学毕业证书，我们这学期必须修满三十个学分学分。,"Để thuận lợi tốt nghiệp, kỳ này tụi tôi phải tích lũy đủ 30 tín chỉ."
831,学年,Danh từ,xuénián,"năm học, niên khóa học",在这个新的学年学年里，我计划要把自己的汉语口语水平提高到提高到六级。,"Trong năm học mới này, tôi định nâng trình nói tiếng Trung lên HSK 6."
832,学时,Danh từ,xuéshí,"tiết học, giờ học, thời gian học",这门关于环保的专题中文课程这学期一共有四十个课时学时学时安排。,Môn chuyên đề môi trường tiếng Trung kỳ này sắp xếp tổng cộng 40 tiết.
833,学术,Danh từ,xuéshù,"học thuật, nghiên cứu học thuật, khoa học",李教授今天下午要在多功能会议室主持一场高端学术学术研讨会研讨会。,Giáo sư Lý chiều nay chủ trì cuộc thảo luận học thuật cao cấp ở phòng họp.
834,学问,Danh từ,xuéwen,"học vấn, tri thức, kiến thức rộng",李老师学问学问深厚，无论我们提问什么汉语难点，她都能轻松解答轻松解答。,"Cô Lý học vấn uyên thâm, câu hỏi khó nào cô cũng giải đáp dễ dàng."
835,寻找,Động từ,xúnzhǎo,"tìm kiếm, tìm tòi, đi tìm",大学毕业后，很多优秀的毕业生都去大城市寻找寻找合适的工作工作机会。,Tốt nghiệp xong nhiều sinh viên giỏi ra thành phố lớn tìm việc làm.
836,迅速,Tính từ,xùnsù,"nhanh chóng, thần tốc, mau lẹ",随着科技快速发展，互联网互联网行业在中国市场上迅速迅速崛起壮大起来。,Mạng Internet phát triển thần tốc lớn mạnh ở thị trường Trung Quốc.
837,牙,Danh từ,yá,răng,因为最近吃太多甜美的黑巧克力，我的牙牙感觉有一点儿酸痛酸痛发炎。,Vì ăn nhiều sô-cô-la đen ngọt nên răng tôi dạo này hơi ê ẩm đau.
838,牙刷,Danh từ,yáshuā,bàn chải đánh răng,每天早晚刷牙刷牙以前，别忘了先用凉水把塑料牙刷牙刷冲洗冲洗一下。,Mỗi sáng tối trước khi đánh răng nhớ rửa qua bàn chải nhựa đã.
839,亚运会,Danh từ,Yàyùnhuì,"Đại hội Thể thao châu Á, ASIAD",李华非常期待能去现场观赏今年秋季举办的大型亚运会亚运会赛事。,Lý Hoa rất mong được ra sân xem các trận đấu ASIAD tổ chức thu này.
840,呀,Trợ từ,ya,"nha, kìa, hả (trợ từ biểu cảm ngữ khí)",外面的雨下得这么大呀呀！咱们今天下午就留在宿舍里看书看书吧。,Mưa ngoài trời to quá đi nha! Chiều nay tụi mình ở phòng học bài đi.
841,延长,Động từ,yáncháng,"kéo dài, gia hạn, mở rộng (thời gian)",图书馆为了照顾期末复习复习的学生，决定把闭馆时间延长延长一小时。,Thư viện gia hạn giờ đóng cửa thêm 1 tiếng để hỗ trợ sinh viên ôn thi.
842,延期,Động từ,yánqī,"hoãn lại, lùi thời hạn, lùi ngày",由于大雨引发洪水，学校决定把新项目的申报截止时间延期延期三天。,Vì lũ lụt nên trường quyết định lùi hạn nộp hồ sơ dự án thêm 3 ngày.
843,延续,Động từ,yánxù,"kéo dài liên tục, tiếp nối, kế thừa",这种古老的传统民间节日习俗在中国已经延续延续了数千年的历史的历史。,Tập tục lễ tết dân gian cổ này đã tiếp diễn hàng nghìn năm ở Trung Quốc.
844,严,Tính từ,yán,"nghiêm khắc, nghiêm ngặt, chặt chẽ, kín",李老师对留学生要求极其严格严格，上课写作业千万千万不能迟到迟到。,"Cô Lý yêu cầu rất nghiêm khắc, học bài tuyệt đối không được đi trễ."
845,严格,Tính từ / Động từ,yángé,"nghiêm ngặt, nghiêm khắc, làm cho nghiêm ngặt",实验室规定必须要严格严格遵守操作规程，以保证所有人的人身安全。,Nội quy phòng thí nghiệm bắt buộc tuân thủ nghiêm ngặt để an toàn.
846,严重,Tính từ,yánzhòng,"nghiêm trọng, trầm trọng, nguy kịch",由于大雪天气严重影响影响，飞往上海的国际航班航班被迫晚点晚点三小时。,Tuyết lớn ảnh hưởng nghiêm trọng khiến chuyến bay đi Thượng Hải trễ 3 tiếng.
847,研究,Động từ,yánjiū,"nghiên cứu, xem xét tìm hiểu kỹ",我们小组正在深入研究研究调查问卷的数据，争取尽快得出结论结论结论。,Nhóm tôi đang nghiên cứu kỹ số liệu bảng hỏi để sớm đưa ra kết luận.
848,研究生,Danh từ,yánjiūshēng,"nghiên cứu sinh, học viên cao học",李华在中文系毕业后顺利被北京大学录取录取为一名专业研究生研究生。,Tốt nghiệp xong Lý Hoa đỗ thạc sĩ chuyên ngành ở Đại học Bắc Kinh.
849,研制,Động từ,yánzhì,"nghiên cứu chế tạo, phát triển (sản phẩm/thuốc)",这家电脑软件软件公司花费了三年时间，成功研制研制出了一套新系统。,Công ty phần mềm này mất 3 năm nghiên cứu phát triển thành công hệ thống mới.
850,盐,Danh từ,yán,"muối ăn, muối",做这盘黄瓜沙拉时别忘了少放一点儿盐盐，吃太多盐对身体不好对身体不好。,"Làm salad dưa leo đừng quên bớt muối, ăn nhiều muối không tốt."
851,眼镜,Danh từ,yǎnjìng,"kính mắt, kính cận/viễn",由于平时看书看电脑时间太长，他现在必须戴着一副近视眼镜眼镜。,Vì đọc sách xem máy tính nhiều quá nên giờ cậu ấy phải đeo kính cận.
852,眼泪,Danh từ,yǎnlèi,nước mắt,听到那个非常伤感伤感的离别故事，她的眼眶里渐渐流出了眼泪眼眼泪。,"Nghe câu chuyện ly biệt buồn thương đó, cô ấy khẽ rơi nước mắt."
853,眼里,Danh từ,yǎnlǐ,"trong mắt, tầm mắt, góc nhìn",在李老师的眼里眼里，每一个外国留学生都是非常能干好学的孩子。,"Trong mắt cô Lý, mỗi du học sinh đều là đứa trẻ chăm ngoan học giỏi."
854,演讲,Động từ / Danh từ,yǎnjiǎng,"diễn thuyết, phát biểu, thuyết trình",他在昨天的汉语口语演讲演讲大赛中表现出色，荣获了第一名金牌。,Cậu ấy thuyết trình xuất sắc cuộc thi nói tiếng Trung đoạt giải vàng.
855,阳台,Danh từ,yángtái,"ban công, hiên nhà",清晨，我喜欢站在宿舍的阳台阳台上面，深呼吸新鲜且清凉的空气空气。,Sáng sớm tôi thích đứng ngoài ban công phòng hít thở khí trời mát mẻ.
856,养成,Động từ,yǎngchéng,"nuôi dưỡng, tạo thành, rèn luyện (thói quen tốt)",我们一定要养成养成每天按时睡觉、规律进行体育慢跑慢跑的好习惯。,Chúng ta phải rèn thói quen tốt ngủ đúng giờ và chạy bộ thể dục.
857,腰,Danh từ,yāo,"lưng, eo, thắt lưng",搬运走廊里那箱重重的木头木头机器时，我的腰腰不小心被扭伤了扭伤了。,"Khi khênh chiếc thùng gỗ nặng ngoài hành lang, tôi lỡ bị trẹo lưng."
858,摇,Động từ,yáo,"lắc, rung, vẫy (tay/đầu/đuôi)",小白猫坐在操场上，一边摇摇着长尾巴，一边开心地看着看书的我。,Chú mèo trắng ngồi trên sân vừa vẫy đuôi vừa nhìn tôi đọc sách.
859,药物,Danh từ,yàowù,"dược phẩm, thuốc men, thuốc điều trị",这种新研制研制出的化学药物能够非常有效地缓解缓解并治疗感冒感冒。,Loại thuốc hóa học mới chế tạo này có thể phòng chữa cảm cúm tốt.
